Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2022,3,Boden,36,"['Lagermedarbetare - Boden - Heltid', 'Distributörer Boden', 'Extrajobb! Restaurang & Liftar', 'Distributörer Boden - vikariat', 'Lagermedarbetare - Boden - Heltid']",2022 3
2022,3,Bollnäs,20,"['Undersköterskor för timanställning, Bollnäs']",2022 3
2022,3,Borlänge,7,"['Brevbärare Borlänge, Extrajobb', 'Student? Vi söker extrapersonal till Dagab i Borlänge ', 'Extrajobb - Brand Merchandiser - Borlänge']",2022 3
2022,3,Borås,53,"['Extrajobb som Lagerarbetare', 'Lagermedarbetare - Borås - Heltid', 'Extrajobb inom lager till stor kund i Landvetter', 'Extrajobb som Lagerarbetare', 'Extrajobb som Lagerarbetare']",2022 3
2022,3,Burlöv,5,"['Behandlingspersonal med missbrukskompetens', 'Behandlingspersonal med missbrukskompetens', 'Behandlingspersonal ', 'Behandlingspersonal med missbrukskompetens', 'Extraarbetare som orderplockare till kund i Malmö']",2022 3
2022,3,Eksjö,2,['Behovspersonal '],2022 3
2022,3,Enköping,40,"['Truckförare (A1) på deltid till lager i Brunna', 'Truckförare (A1) på deltid till lager i Brunna']",2022 3
2022,3,Eskilstuna,81,"['Ung tjej i Eskilstuna söker personliga assistenter', 'Extra jobb som telefonist/växel', 'Vi söker dig som vill ha extrajobb på ett lager i Eskilstuna!', 'Tidningsdistributörer Eskilstuna inkl. Malmköping', 'Uniflex söker studerande truckförare till uppdrag i Eskilstuna!']",2022 3
2022,3,Eslöv,7,"['Extrajobb - Eslöv', 'Extrajobb som truckförare på logistikavdelning', 'Brevbärare Eslöv, Extrajobb', 'Extrajobb - Eslöv']",2022 3
2022,3,Falkenberg,1,['Fartfyllt extrajobb för Hyma i Falkenberg'],2022 3
2022,3,Falun,6,"['Timvikarie sökes till kvinna i Falun', 'Extrajobb som receptionist till kund i Falun ', 'Brevbärare Falun, Extrajobb']",2022 3
2022,3,Gislaved,5,"['Brevbärare Gislaved, Extrajobb', 'Brevbärare Smålandsstenar, Extrajobb']",2022 3
2022,3,Gotland,2,"['Timanställda till kundservice - Spontanansökan', 'Extrajobb - Brand Merchandiser - Visby']",2022 3
2022,3,Grums,1,"['Brevbärare Grums, Extrajobb']",2022 3
2022,3,Gällivare,4,['Distributörer Gällivare - Vikariat'],2022 3
