Year,Quarter,Workplace,VacancyCount,Headline,MergedColumn
2021,4,Trollhättan,10,"['Timvikarie måltidsbiträde till Serviceförvaltningen', 'Brevbärare Trollhättan, behovsanställning', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Google söker Butiksambassadör i peak - Trollhättan', 'Timvikarie kock till Serviceförvaltningen']",2021 4
2021,4,Trosa,2,['Distributörer till Trosa'],2021 4
2021,4,Tyresö,5,"['Extrajobb i Tyresö', 'Brevbärare Tyresö, behovsanställning']",2021 4
2021,4,Täby,3,['Timanställd Kundtjänst'],2021 4
2021,4,Uddevalla,5,"['Brevbärare Uddevalla, behovsanställning']",2021 4
2021,4,Umeå,4,"['Sjuksköterska, Rättspsykiatrisk avdelning Umeå', 'Extrajobb som chaufför - Umeå', 'Aktivt extrajobb som chaufför  - Umeå', 'Extrajobb som chaufför från 16/12 till 31/12 - Umeå']",2021 4
2021,4,Upplands Väsby,36,"['Extrajobb för studenter till TNT, Upplands Väsby ', 'Extrajobb till TNT, Upplands Väsby ', 'Extrajobb till TNT, Upplands Väsby ', 'Extrajobb för studenter till TNT, Upplands Väsby ', 'Extrajobb till TNT, Upplands Väsby ']",2021 4
2021,4,Upplands-Bro,273,"['Extrajobb på Systembolagets lager i Kungsängen!', 'Extrajobb som truckförare på lager i Brunna!', 'KAA-samordnare sökes till Upplands-Bro, heltid', 'Extrajobb som truckförare på lager i Brunna!', 'Extrajobb som truckförare till Systembolagets varudepå i Brunna!']",2021 4
2021,4,Uppsala,90,"['Delikatesspersonal', 'Brevbärare Uppsala, behovsanställning', 'Butiksmedarbetare med tidigare erfarenhet till matbutiker Uppsala!', 'Butiksmedarbetare med tidigare erfarenhet till matbutiker Uppsala!', 'Butiksmedarbetare med tidigare erfarenhet till matbutiker Uppsala!']",2021 4
2021,4,Vaggeryd,4,"['Spapersonal 15 – 100 % sökes till Hooks Herrgård ', 'Personlig assistent till schemarad, tjänstgöringsgrad 60-70%']",2021 4
2021,4,Vallentuna,14,"['Medarbetare inom produktion och lager sökes till Vallentuna', 'Extra Brevbärare, Vallentuna', 'Lagerarbetare - Vallentuna - Heltid', 'Brevbärare Vallentuna, behovsanställning']",2021 4
2021,4,Vansbro,4,"['Brevbärare Vansbro, behovsanställning', 'Brevbärare Vansbro, behovsanställning']",2021 4
2021,4,Varberg,5,['Extrajobb inom industri och lager'],2021 4
2021,4,Vetlanda,2,['Behovspersonal '],2021 4
2021,4,Vänersborg,6,['Extrajobb inom på terminal i Vänersborg!'],2021 4
2021,4,Värmdö,4,"['Tjej i Stavsnäs söker personlig assistent', 'Tjej i Stavsnäs söker personlig assistent', 'Hundskötare sökes']",2021 4
2021,4,Värnamo,8,"['Fotbollsintresserad eventpersonal sökes till eventturné!', 'Butikschef Värnamo', 'Lagermedarbetare på deltid till företag i logistikbranschen']",2021 4
2021,4,Västervik,3,"['Brevbärare Västervik, behovsanställning']",2021 4
2021,4,Västerås,84,"['Studerande sökes till extrajobb på apotekslager i Enköping', 'Kundvärd extraarbete serviceanmälan', 'Löneadminstratörer till resurspool hos kund i Västerås', 'Studie- och yrkesvägledare sökes till StudentConsulting för extraarbete', 'Kvinnlig Personlig assistent, dagtid - Västerås']",2021 4
2021,4,Växjö,5,"['Extrajobb som terminalarbete - Växjö', 'Nu söker vi extra personal som orderplockare i Ingelstad', 'Söker du ett omväxlande och flexibelt extrajobb? Vi söker personal!', 'Nu söker vi extra personal som orderplockare i Ingelstad', 'Extrajobb som chaufför - Växjö']",2021 4
2021,4,Vårgårda,5,['Extrajobb - Autoliv Vårgårda'],2021 4
2021,4,Ystad,6,"['Barista Ystad', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Barista Ystad']",2021 4
2021,4,Älvsbyn,2,"['Distributörer, Älvsbyn']",2021 4
2021,4,Ängelholm,3,"['Barista Ängelholm', 'Fotbollsintresserad eventpersonal sökes till eventturné!']",2021 4
2021,4,Ånge,1,"['Brevbärare Sveg, behovsanställning']",2021 4
2021,4,Åtvidaberg,4,['Vikariat bildistrikt Åtvidaberg'],2021 4
2021,4,Örebro,71,"['Är du student och sugen på att tjäna extra pengar?', 'Ekonomiadministratör på deltid sökes!', 'Lagerarbetare på deltid sökes till vår kund i Örebro!', 'Extrajobb som chaufför - Örebro', 'Tekniker på deltid till Linford AB']",2021 4
2021,4,Örnsköldsvik,2,"['Sjuksköterska Rättspsykiatriska avdelning Umeå ', 'Timvikarie till en 10 årig flicka i Örnsköldsvik']",2021 4
2021,4,Östersund,8,"['Extrajobb som redovisningsassistent i Östersund', 'Brevbärare Östersund, behovsanställning']",2021 4
2021,4,Österåker,1,['Ungdomscoach till Österåkers kommunala aktivitetsansvar (KAA)'],2021 4
2021,4,Övertorneå,4,"['Distributörer, Övertorneå', 'Distributörer, Övertorneå']",2021 4
2021,3,Arvidsjaur,4,"['Distributörer, Arvidsjaur - Arjeplog', 'Morgondistributör, Arvidsjaur - Arjeplog']",2021 3
2021,3,Arvika,2,"['Butiksmedarbetare sökes till ICA, Coop och hemköp i Arvika', 'Gillar du att jobba med personal och arbetsrätt?']",2021 3
2021,3,Askersund,2,"['Extrapersonal sökes till Hammar', 'Extrapersonal sökes till Hammar']",2021 3
2021,3,Bjuv,90,"['Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv!', 'Extra personal till kyllager i Bjuv!']",2021 3
2021,3,Boden,13,"['Extrajobb! Restaurang & Liftar', 'Morgondistributör Boden', 'Extrajobb Mystery Shopping Boden', 'Distributörer, Boden']",2021 3
2021,3,Bollnäs,20,"['Extra Brevbärare, Bollnäs', 'Extra Brevbärare, Bollnäs']",2021 3
2021,3,Borås,104,"['Högskolestudenter sökes för extrajobb i Viared!', 'Fotbollsintresserad eventpersonal sökes till eventturné!', 'Är du student och söker ett extrajobb på lager?', 'Högskolestudenter sökes för extrajobb i Viared!', 'Truckförare extra kvällstid']",2021 3
2021,3,Botkyrka,4,"['Lager- samt förare lätt lastbil', 'Lyhörd, aktiv och initiativrik kvinnlig assistent']",2021 3
2021,3,Burlöv,2,['16-årig kille i Åkarp söker lekfull assistent'],2021 3
2021,3,Båstad,2,"['Brevbärare Båstad, behovsanställning']",2021 3
2021,3,Enköping,26,"['Lagerarbetare på deltid sökes!', 'Extrajobb som truckförare på lager i Brunna!', 'Studerande lagerarbetare sökes till våra kunder i Mälardalen!', 'Lagerarbetare på deltid sökes!', 'Studerande sökes till extrajobb på apotekslager i Enköping']",2021 3
2021,3,Eskilstuna,165,"['Söker erfaren truckförare för skjutstativ', 'Söker erfaren truckförare för skjutstativ', 'Söker erfaren truckförare för skjutstativ', 'Uniflex söker studerande lagermedarbetare som kan arbeta dagtid!', 'Uniflex söker studerande lagermedarbetare']",2021 3
2021,3,Eslöv,2,"['Brevbärare Eslöv, behovsanställning']",2021 3
2021,3,Falkenberg,2,"['Aktivt extrajobb som lagermedarbetare på dagtid - Falkenberg', 'Aktivt extrajobb som lagermedarbetare på dagtid med start omgående - Fal...']",2021 3
2021,3,Falköping,5,"['Extra Brevbärare, Falköping']",2021 3
2021,3,Falun,5,"['Extra Brevbärare, Falun', 'Serviceassistent Borlänge']",2021 3
2021,3,Flen,9,"['Söker dig som vill jobba extra i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm', 'Söker dig som vill jobba extra i Katrineholm']",2021 3
2021,3,Gislaved,1,['Arbetsledare Secondhand'],2021 3
2021,3,Gotland,11,"['Enkelt Extrajobb omgående!', 'Distributör i Visby', 'Distributör i Visby', 'Distributör i Visby', 'Distributör i Visby']",2021 3
2021,3,Grums,2,"['Extra Brevbärare, Grums']",2021 3
2021,3,Gävle,8,"['Extra Brevbärare, Gävle', 'Butikschef till vår butik i Gävle ', 'Fotbollsintresserad eventpersonal sökes till eventturné!']",2021 3
2021,3,Göteborg,286,"['Säljare/Husdesigner ', 'Ekonomiassistent – Student 2 dagar/vecka', 'Koordinator på deltid till Technity!', 'Extra Terminalarbetare, Göteborg', 'Extrapersonal inom lager sökes! ']",2021 3
2021,3,Hagfors,1,"['Extra Brevbärare, Hagfors BBK']",2021 3
2021,3,Hallsberg,15,"['Extra Terminalarbetare, Hallsberg']",2021 3
2021,3,Hallstahammar,3,['Betongabetare (Extra)'],2021 3
2021,3,Halmstad,4,"['Välbetalt extrajobb på Martin & Serveras lager i Halmstad', 'Assistent till produktutvecklare på Lantmännen i Laholm!', 'Fotbollsintresserad eventpersonal sökes till eventturné!']",2021 3
2021,3,Haninge,24,"['B-bilschaufförer med erfarenhet av budbilskörning i Stockholm sökes', 'Extrapersonal sökes till vår kund i Jordbro, Start omgående!', 'Extrapersonal sökes till vår kund i Jordbro - Dagtid!', 'Budbilsförare för utleverans av matkassar i Jordbro- Deltid', 'Extra Brevbärare, Haninge']",2021 3
2021,3,Haparanda,6,"['Distributörer, Haparanda', 'Morgondistributör Haparanda', 'Morgondistributör Haparanda']",2021 3
2021,3,Heby,50,['Lager Morgongåva. Personal till vår högsäsong och personal som vill arbeta '],2021 3
2021,3,Helsingborg,28,"['Deltidsarbetande truckförare sökes till kund i Landskrona.', 'Vi söker studenter för extrajobb på lager i Helsingborg!', 'Lagerarbete för dig med truckkort i Helsingborg', 'Extrajobb som lagermedarbetare i Helsingborg', 'Lagerarbete på deltid i Helsingborg']",2021 3
2021,3,Härryda,32,"['Extra Terminalarbetare Paket Härryda', 'Sommarjobb till lager på Landvetter flygplats - deltid', 'Extra Terminalarbetare, Härryda']",2021 3
2021,3,Hässleholm,4,"['Extra Brevbärare/Sorterare, Hässleholm', 'Lagerarbetare - Orderplock med truck, Timanställning']",2021 3
2021,3,Höganäs,2,"['Brevbärare Höganäs, behovsanställning']",2021 3
2021,3,Höör,3,['Waldorfskola söker flera pedagoger'],2021 3
2021,3,Järfälla,1,['Lagerpersonal sökes till Airmee i Järfälla.'],2021 3
2021,3,Jönköping,6,"['Timvikarierande Site Responsible till Jönköping', 'Vi söker dig som vill arbeta extra!', 'Extrajobb inom lager? ', 'Extrapersonal till modernt lager i Värnamo sökes!']",2021 3
2021,3,Kalix,6,"['Distributörer, Kalix och Töre', 'Morgondistributör Kalix/Töre', 'Morgondistributör Kalix/Töre']",2021 3
2021,3,Kalmar,9,"['50% tjänst sökes till kvinna i Kalmar. ', 'Restaurant, helgjobb', 'Extra Brevbärare, Kalmar']",2021 3
2021,3,Karlskrona,2,['Chaufför sökes för boxleveranser vid behov i Karlskrona och Blekinge'],2021 3
2021,3,Karlstad,5,"['Extra Brevbärare, Karlstad', 'Kafémedarbetare med köksvana', 'Personlig assistent till kund i lantlig miljö strax utanför Karlstad!', 'Fotbollsintresserad eventpersonal sökes till eventturné!']",2021 3
